,County,State,Population
196,Colusa,California,21547
197,Contra Costa,California,1153526
198,Del Norte,California,27812
199,El Dorado,California,192843
200,Fresno,California,999101
201,Glenn,California,28393
202,Humboldt,California,135558
203,Imperial,California,181215
204,Inyo,California,18039
205,Kern,California,900202
206,Kings,California,152940
207,Lake County,California,64386
208,Lassen County,California,30573
209,Los Angeles,California,10039107
210,Madera,California,157327
211,Marin County,California,258826
212,Mariposa,California,17203
213,Mendocino,California,86749
214,Merced,California,277680
215,Modoc County,California,8841
216,Mono County,California,14444
217,Monterey,California,434061
218,Napa,California,137744
219,Nevada County,California,99755
220,Orange County,California,3175692
221,Placer,California,398329
222,Plumas,California,18807
223,Riverside,California,2470546
224,Sac,California,1552058
225,San Benito,California,62808
226,San Bernardino,California,2180085
227,San Diego,California,3338330
228,San Francisco,California,881549
229,San Joaquin,California,762148
230,San Luis Obispo,California,283111
231,San Mateo,California,766573
232,Santa Barbara,California,446499
233,Santa Clara,California,1927852
234,Santa Cruz,California,273213
235,Shasta,California,180080
236,Sierra,California,3005
237,Siskiyou,California,43539
238,Solano,California,447643
239,Sonoma,California,494336
240,Stanislaus,California,550660
241,Sutter,California,96971
242,Tehama,California,65084
243,Trinity,California,12285
244,Tulare,California,466195
245,Tuolumne,California,54478
246,Ventura,California,846006
247,Yolo,California,220500
248,Yuba,California,78668
249,Colorado,Colorado,5758736
250,Adams,Colorado,517421
251,Alamosa,Colorado,16233
252,Arapahoe,Colorado,656590
253,Archuleta,Colorado,14029
254,Baca County,Colorado,3581
255,Bent,Colorado,5577
256,Boulder,Colorado,326196
257,Broomfield,Colorado,70465
258,Chaffee,Colorado,20356
259,Cheyenne,Colorado,1831
260,Creek,Colorado,9700
261,Conejos,Colorado,8205
262,Costilla,Colorado,3887
263,Crowley,Colorado,6061
264,Custer,Colorado,5068
265,Delta,Colorado,31162
266,Denver,Colorado,727211
267,Dolores County,Colorado,2055
268,Douglas,Colorado,351154
269,Eagle,Colorado,55127
270,Elbert,Colorado,26729
271,El Paso,Colorado,720403
272,Fremont,Colorado,47839
273,Garfield,Colorado,60061
274,Gilpin,Colorado,6243
275,Grand County,Colorado,15734
276,Unknown,Colorado,17462
277,Hinsdale,Colorado,820
278,Huerfano,Colorado,6897
279,Jack,Colorado,1392
280,Jefferson,Colorado,582881
281,Kiowa,Colorado,1406
282,Kit Carson,Colorado,7097
283,Lake County,Colorado,8127
284,La Plata,Colorado,56221
285,Larimer,Colorado,356899
286,Las Animas,Colorado,14506
287,Lincoln County,Colorado,5701
288,Logan,Colorado,22409
289,Mesa,Colorado,154210
290,Mineral,Colorado,769
291,Moffat,Colorado,13283
292,Montezuma,Colorado,26183
293,Montrose,Colorado,42758
294,Morgan,Colorado,29068
295,Otero,Colorado,18278
296,Ouray,Colorado,4952
297,Park,Colorado,18845
298,Phillips,Colorado,4265
299,Pitkin,Colorado,17767
300,Prowers,Colorado,12172
301,Pueblo,Colorado,168424
302,Rio Blanco,Colorado,6324
303,Rio Grande,Colorado,11267
304,Routt,Colorado,25638
305,Saguache,Colorado,6824
306,San Juan,Colorado,728
307,San Miguel,Colorado,8179
308,Sedgwick,Colorado,2248
309,Summit,Colorado,31011
310,Teller,Colorado,25388
311,Washington County,Colorado,4908
312,Weld,Colorado,324492
313,Yuma,Colorado,10019
314,Connecticut,Connecticut,3565287
315,Fairfield,Connecticut,943332
316,Hartford,Connecticut,891720
317,Litchfield,Connecticut,180333
318,Middlesex,Connecticut,162436
319,New Haven,Connecticut,854757
320,New London,Connecticut,265206
321,Tolland,Connecticut,150721
322,Windham,Connecticut,116782
323,Delaware,Delaware,973764
324,Kent County,Delaware,180786
325,New Castle,Delaware,558753
326,Sussex,Delaware,234225
327,District of Columbia,District of Columbia,705749
328,District of Columbia,District of Columbia,705749
329,Florida,Florida,21477737
330,Alachua,Florida,269043
331,Baker,Florida,29210
332,Bay County,Florida,174705
333,Bradford,Florida,28201
334,Brevard,Florida,601942
335,Broward,Florida,1952778
336,Calhoun,Florida,14105
337,Charlotte,Florida,188910
338,Citrus,Florida,149657
339,Clay County,Florida,219252
340,Collier,Florida,384902
341,Columbia,Florida,71686
342,DeSoto,Florida,38001
343,Dixie,Florida,16826
344,Duval,Florida,957755
345,Escambia,Florida,318316
346,Flagler,Florida,115081
347,Franklin,Florida,12125
348,Gadsden,Florida,45660
349,Gilchrist,Florida,18582
350,Glades,Florida,13811
351,Gulf,Florida,13639
352,Hamilton,Florida,14428
353,Hardee,Florida,26937
354,Hendry,Florida,42022
355,Hernando,Florida,193920
356,Highlands,Florida,106221
357,Hillsborough,Florida,1471968
358,Holmes,Florida,19617
359,Indian River,Florida,159923
360,Jack,Florida,46414
361,Jefferson,Florida,14246
362,Lafayette County,Florida,8422
363,Lake County,Florida,367118
364,Lee,Florida,770577
365,Leon,Florida,293582
366,Levy,Florida,41503
367,Liberty,Florida,8354
368,Madison County,Florida,18493
369,Manatee,Florida,403253
370,Marion,Florida,365579
371,Martin County,Florida,161000
372,Miami-Dade,Florida,2716940
373,Monroe,Florida,74228
374,Nassau,Florida,88625
375,Okaloosa,Florida,210738
376,Okeechobee,Florida,42168
377,Orange County,Florida,1393452
378,Osceola,Florida,375751
379,Palm Beach,Florida,1496770
380,Pasco,Florida,553947
381,Pinellas,Florida,974996
382,Polk,Florida,724777
383,Putnam,Florida,74521
384,St. Johns,Florida,264672
385,St. Lucie,Florida,328297
386,Santa Rosa,Florida,184313
387,Sarasota,Florida,433742
388,Seminole,Florida,471826
389,Sumter,Florida,132420
390,Suwannee,Florida,44417
391,Taylor,Florida,21569
392,Union County,Florida,15237
393,Volusia,Florida,553284
394,Wakulla,Florida,33739
395,Walton,Florida,74071
396,Washington County,Florida,25473
397,Georgia,Georgia,10617423
398,Appling,Georgia,18386
399,Atkinson,Georgia,8165
400,Bacon,Georgia,11164
401,Baker,Georgia,3038
402,Baldwin,Georgia,44890
403,Banks,Georgia,19234
404,Barrow,Georgia,83240
405,Bartow,Georgia,107738
406,Ben Hill,Georgia,16700
407,Berrien,Georgia,19397
408,Bibb,Georgia,153159
409,Bleckley,Georgia,12873
410,Brantley,Georgia,19109
411,Rooks,Georgia,15457
412,Bryan,Georgia,39627
413,Bulloch,Georgia,79608
414,Burke,Georgia,22383
415,Butts,Georgia,24936
416,Calhoun,Georgia,6189
417,Camden,Georgia,54666
418,Candler,Georgia,10803
419,Carroll County,Georgia,119992
420,Catoosa,Georgia,67580
421,Charlton,Georgia,13392
422,Chatham,Georgia,289430
423,Chattahoochee,Georgia,10907
424,Chattooga,Georgia,24789
425,Cherokee,Georgia,258773
426,Clarke,Georgia,128331
427,Clay County,Georgia,2834
428,Clayton,Georgia,292256
429,Clinch,Georgia,6618
430,Cobb,Georgia,760141
431,Coffee,Georgia,43273
432,Colquitt,Georgia,45600
433,Columbia,Georgia,156714
434,Cook County,Georgia,17270
435,Coweta,Georgia,148509
436,Crawford,Georgia,12404
437,Crisp,Georgia,22372
438,Dade,Georgia,16116
439,Dawson,Georgia,26108
440,Decatur,Georgia,26404
441,DeKalb,Georgia,759297
442,Dodge,Georgia,20605
443,Dooly,Georgia,13390
444,Dougherty,Georgia,87956
445,Douglas,Georgia,146343
446,Early,Georgia,10190
447,Echols,Georgia,4006
448,Effingham,Georgia,64296
449,Elbert,Georgia,19194
450,Emanuel,Georgia,22646
451,Evans,Georgia,10654
452,Fannin,Georgia,26188
453,Fayette,Georgia,114421
454,Floyd,Georgia,98498
455,Forsyth,Georgia,244252
456,Franklin,Georgia,23349
457,Fulton,Georgia,1063937
458,Gilmer,Georgia,31369
459,Glascock,Georgia,2971
460,Glynn,Georgia,85292
461,Gordon,Georgia,57963
462,Grady,Georgia,24633
463,Greene,Georgia,18324
464,Gwinnett,Georgia,936250
465,Habersham,Georgia,45328
466,Hall County,Georgia,204441
467,Hancock,Georgia,8457
468,Haralson,Georgia,29792
469,Harris County,Georgia,35236
470,Hart County,Georgia,26205
471,Heard,Georgia,11923
472,Henry,Georgia,234561
473,Houston,Georgia,157863
474,Irwin,Georgia,9416
475,Jack,Georgia,72977
476,Jasper,Georgia,14219
477,Jeff Davis,Georgia,15115
478,Jefferson,Georgia,15362
479,Jenkins,Georgia,8676
480,Johnson,Georgia,9643
481,Jones,Georgia,28735
482,Lamar,Georgia,19077
483,Lanier,Georgia,10423
484,Laurens,Georgia,47546
485,Lee,Georgia,29992
486,Liberty,Georgia,61435
487,Lincoln County,Georgia,7921
488,Long,Georgia,19559
489,Lowndes,Georgia,117406
490,Lumpkin,Georgia,33610
491,McDuffie,Georgia,21312
492,McIntosh,Georgia,14378
493,Macon,Georgia,12947
494,Madison County,Georgia,29880
495,Marion,Georgia,8359
496,Meriwether,Georgia,21167
497,Miller,Georgia,5718
498,Mitchell,Georgia,21863
499,Monroe,Georgia,27578
500,Montgomery,Georgia,9172
501,Morgan,Georgia,19276
502,Murray,Georgia,40096
503,Muscogee,Georgia,195769
504,Newton,Georgia,111744
505,Oconee,Georgia,40280
506,Oglethorpe,Georgia,15259
507,Paulding,Georgia,168667
508,Peach,Georgia,27546
509,Pickens,Georgia,32591
510,Pierce,Georgia,19465
511,Pike,Georgia,18962
512,Polk,Georgia,42613
513,Pulaski,Georgia,11137
514,Putnam,Georgia,22119
515,Quitman,Georgia,2299
516,Rabun,Georgia,17137
517,Randolph,Georgia,6778
518,Richmond,Georgia,202518
519,Rockdale,Georgia,90896
520,Schley,Georgia,5257
521,Screven,Georgia,13966
522,Seminole,Georgia,8090
523,Spalding,Georgia,66703
524,Stephens,Georgia,25925
525,Stewart,Georgia,6621
526,Sumter,Georgia,29524
527,Talbot,Georgia,6195
528,Taliaferro,Georgia,1537
529,Tattnall,Georgia,25286
530,Taylor,Georgia,8020
531,Telfair,Georgia,15860
532,Terrell,Georgia,8531
533,Thomas,Georgia,44451
534,Tift,Georgia,40644
535,Toombs,Georgia,26830
536,Towns,Georgia,12037
537,Treutlen,Georgia,6901
538,Troup,Georgia,69922
539,Turner,Georgia,7985
540,Twiggs,Georgia,8120
541,Union County,Georgia,24511
542,Upson,Georgia,26320
543,Walker,Georgia,69761
544,Walton,Georgia,94593
545,Ware,Georgia,35734
546,Warren,Georgia,5254
547,Washington County,Georgia,20374
548,Wayne,Georgia,29927
549,Webster,Georgia,2607
550,Wheeler,Georgia,7855
551,White,Georgia,30798
552,Whitfield,Georgia,104628
553,Wilcox,Georgia,8635
554,Wilkes,Georgia,9777
555,Wilkinson,Georgia,8954
556,Worth,Georgia,20247
557,Hawaii,Hawaii,1415872
558,Hawaii County,Hawaii,201513
559,Honolulu,Hawaii,974563
560,Kalawao County,Hawaii,86
561,Kauai,Hawaii,72293
562,Maui,Hawaii,167417
563,Idaho,Idaho,1787065
564,Ada County,Idaho,481587
565,Adams,Idaho,4294
566,Bannock,Idaho,87808
567,Bear Lake County,Idaho,6125
568,Benewah County,Idaho,9298
569,Bingham,Idaho,46811
570,Blaine,Idaho,23021
571,Boise County,Idaho,7831
572,Bonner,Idaho,45739
573,Bonneville,Idaho,119062
574,Boundary County,Idaho,12245
575,Butte County,Idaho,2597
576,Camas,Idaho,1106
577,Canyon,Idaho,229849
578,Caribou,Idaho,7155
579,Cassia,Idaho,24030
580,Clark County,Idaho,845
581,Clearwater,Idaho,8756
582,Custer,Idaho,4315
583,Elmore,Idaho,27511
584,Franklin,Idaho,13876
585,Fremont,Idaho,13099
586,Gem County,Idaho,18112
587,Gooding,Idaho,15179
588,Ida,Idaho,16667
589,Jefferson,Idaho,29871
590,Jerome,Idaho,24412
591,Kootenai,Idaho,165697
592,Latah,Idaho,40108
593,Lemhi,Idaho,8027
594,Lewis County,Idaho,3838
595,Lincoln County,Idaho,5366
596,Madison County,Idaho,39907
597,Minidoka,Idaho,21039
598,Nez Perce,Idaho,40408
599,Oneida,Idaho,4531
600,Owyhee,Idaho,11823
601,Payette,Idaho,23951
602,Power,Idaho,7681
603,Shoshone County,Idaho,12882
604,Teton,Idaho,12142
605,Twin Falls,Idaho,86878
606,Valley,Idaho,11392
607,Washington County,Idaho,10194
608,Illinois,Illinois,12671821
609,Adams,Illinois,65435
610,Alexander,Illinois,5761
611,Bond,Illinois,16426
612,Boone,Illinois,53544
613,Brown,Illinois,6578
614,Bureau,Illinois,32628
615,Calhoun,Illinois,4739
616,Carroll County,Illinois,14305
617,Cass,Illinois,12147
618,Champaign,Illinois,209689
619,Christian,Illinois,32304
620,Clark County,Illinois,15441
621,Clay County,Illinois,13184
622,Clinton,Illinois,37562
623,Cole,Illinois,50621
624,Cook County,Illinois,5150233
625,Crawford,Illinois,18667
626,Cumberland,Illinois,10766
627,DeKalb,Illinois,104897
628,De Witt,Illinois,15638
629,Douglas,Illinois,19465
630,DuPage,Illinois,922921
631,Edgar County,Illinois,17161
632,Edwards,Illinois,6395
633,Effingham,Illinois,34008
634,Fayette,Illinois,21336
635,Ford County,Illinois,12961
636,Franklin,Illinois,38469
637,Fulton,Illinois,34340
638,Gallatin,Illinois,4828
639,Greene,Illinois,12969
640,Grundy,Illinois,51054
641,Hamilton,Illinois,8116
642,Hancock,Illinois,17708
643,Hardin County,Illinois,3821
